municipio,populacaototal_homem,populacaototal_mulher,populacaototal,populacaojovem_homem,populacaojovem_mulher,populacaojovem
1100015,12656,11736,24392,3520,3360,6880
1100023,45543,44810,90353,13096,13384,26480
1100031,3266,3047,6313,793,772,1565
1100049,39124,39450,78574,11222,11413,22635
1100056,8551,8478,17029,2321,2368,4689
1100064,9330,9261,18591,2484,2570,5054
1100072,4711,4072,8783,1287,1134,2421
1100080,7202,6476,13678,2003,1811,3814
1100098,14606,14123,28729,4005,4042,8047
1100106,20947,20709,41656,5842,5781,11623
1100114,26005,26000,52005,7600,7610,15210
1100122,57824,58786,116610,16799,17309,34108
1100130,16536,14599,31135,4450,4156,8606
1100148,10344,9530,19874,2899,2699,5598
1100155,18698,19230,37928,5399,5511,10910
1100189,17041,16781,33822,5054,4864,9918
1100205,217618,210909,428527,67116.39,65363.22,132479.6
1100254,11309,11010,22319,3054,2946,6000
1100262,1767,1549,3316,410,430,840
1100288,25170,25478,50648,7245,7627,14872
1100296,4596,4290,8886,1230,1168,2398
1100304,37782,38420,76202,10987,11344,22331
1100320,11328,10500,21828,3122,3125,6247
1100338,11735,10811,22546,3065,3078,6143
1100346,8678,8175,16853,2319,2268,4587
1100379,6739,6077,12816,1830,1689,3519
1100403,9022,8113,17135,2289,2183,4472
1100452,16741,15642,32383,4627,4698,9325
1100502,5336,4904,10240,1363,1312,2675
1100601,2965,2771,5736,742,750,1492
1100700,6768,5897,12665,1825,1610,3435
1100809,10320,9459,19779,2780,2749,5529
1100908,1829,1746,3575,442,459,901
1100924,4415,3886,8301,1226,1144,2370
1100940,8456,7398,15854,2312,2182,4494
1101005,5470,5042,10512,1478,1372,2850
1101104,4565,4001,8566,1162,1077,2239
1101203,5304,5048,10352,1392,1441,2833
1101302,6049,5829,11878,1613,1629,3242
1101401,7408,6683,14091,1860,1871,3731
1101435,3999,3494,7493,1090,1008,2098
1101450,2595,2215,4810,719,659,1378
1101468,1218,1097,2315,292,274,566
1101476,1856,1668,3524,471,401,872
1101484,3086,2932,6018,734,784,1518
1101492,8415,7620,16035,2326,2186,4512
1101500,6087,5542,11629,1650,1590,3240
1101559,2540,2348,4888,737,605,1342
1101609,5653,4996,10649,1466,1311,2777
1101708,6731,6243,12974,1801,1811,3612
1101757,4979,4405,9384,1254,1226,2480
1101807,4244,3966,8210,1125,1108,2233
1200013,6592,5946,12538,1718,1647,3365
1200054,3091,2981,6072,875,873,1748
1200104,11037,10361,21398,3062,2989,6051
1200138,4569,3902,8471,1138,1101,2239
1200179,4655,4143,8798,1134,1051,2185
1200203,39220,39287,78507,11712,11938,23650
1200252,7626,7474,15100,2112,2224,4336
1200302,16716,15696,32412,4721,4447,9168
1200328,3412,3165,6577,958,870,1828
1200336,7836,7370,15206,2266,2148,4414
1200344,4255,3726,7981,1183,1053,2236
1200351,7463,6764,14227,2200,1977,4177
1200385,8999,8210,17209,2383,2122,4505
1200393,4794,4382,9176,1291,1108,2399
1200401,163592,172446,336038,49198,52448,101646
1200427,7479,6910,14389,2051,1926,3977
1200435,2406,2285,4691,742,647,1389
1200450,10328,9851,20179,2779,2769,5548
1200500,19739,18290,38029,5979,5560,11539
1200609,18353,17237,35590,5222,4822,10044
1200708,8317,7774,16091,2327,2120,4447
1200807,7845,7035,14880,1946,1899,3845
1300029,7416,6672,14088,2078,1844,3922
1300060,4902,4565,9467,1403,1411,2814
1300086,5446,4768,10214,1575,1402,2977
1300102,8511,7806,16317,2444,2308,4752
1300144,9551,8456,18007,2720,2661,5381
1300201,7852,7301,15153,2555,2359,4914
1300300,16989,15146,32135,4481,4047,8528
1300409,13816,11902,25718,4661,4016,8677
1300508,14312,13043,27355,3832,3275,7107
1300607,17260,16151,33411,5005,4837,9842
1300631,8146,7340,15486,2185,1964,4149
1300680,7945,7034,14979,2270,1945,4215
1300706,15947,14685,30632,4605,4122,8727
1300805,18237,16724,34961,5383,4893,10276
1300839,5812,5163,10975,1678,1516,3194
1300904,6872,5866,12738,1906,1744,3650
1301001,13259,12515,25774,3826,3559,7385
1301100,16990,15744,32734,4448,4465,8913
1301159,12688,11242,23930,3290,3107,6397
1301209,39476,36489,75965,12602,11984,24586
1301308,12107,11099,23206,3631,3444,7075
1301407,15779,14886,30665,4763,4310,9073
1301506,8392,7946,16338,2558,2326,4884
1301605,11824,10993,22817,3476,3330,6806
1301654,7265,6709,13974,2183,1941,4124
1301704,23204,21023,44227,6940,6449,13389
1301803,11355,10899,22254,3027,3016,6043
1301852,20996,19785,40781,5688,5474,11162
1301902,44426,42413,86839,12176,11894,24070
1301951,4236,3802,8038,1259,1117,2376
1302009,4299,3912,8211,1168,1155,2323
1302108,3835,3491,7326,1141,1099,2240
1302207,5548,5254,10802,1656,1541,3197
1302306,9432,8560,17992,2540,2427,4967
1302405,19638,18063,37701,5793,5275,11068
1302504,43461,41680,85141,12231.87,12253.66,24485.52
1302553,11744,11057,22801,3180.526,3130.688,6311.214
1302603,879742,922272,1802014,263501,277861,541362
1302702,24684,22333,47017,7173,6637,13810
1302801,9407,8121,17528,2926,2471,5397
1302900,27283,24953,52236,7587,6786,14373
1303007,9496,8782,18278,2718,2427,5145
1303106,15748,14948,30696,4655,4549,9204
1303205,7607,7116,14723,2213,2109,4322
1303304,11429,10022,21451,3252,3031,6283
1303403,52304,49729,102033,14719,14183,28902
1303502,9490,8676,18166,2893,2553,5446
1303536,14350,12825,27175,3846,3629,7475
1303569,13406,12313,25719,3873,3838,7711
1303601,9322,8824,18146,2518,2338,4856
1303700,12592,11889,24481,3602,3478,7080
1303809,19463,18433,37896,5437,4980,10417
1303908,16266,15156,31422,4631,4387,9018
1303957,5680,5025,10705,1606,1486,3092
1304005,4498,3946,8444,1183,1012,2195
1304062,26359,25913,52272,7645,7792,15437
1304104,10075,9002,19077,3037,2834,5871
1304203,31518,29935,61453,9241,8869,18110
1304237,8777,8302,17079,2626,2447,5073
1304260,6332,5559,11891,1735,1666,3401
1304302,8854,8240,17094,2280,2204,4484
1304401,9529,8308,17837,2806,2457,5263
1400027,4992,4335,9327,1232,1069,2301
1400050,8676,7772,16448,2161,1931,4092
1400100,140801,143512,284313,43464,45421,88885
1400159,5879,5064,10943,1491,1265,2756
1400175,7538,6364,13902,1763,1496,3259
1400209,9732,8666,18398,2646,2439,5085
1400233,4309,3805,8114,1172,1103,2275
1400282,4600,4096,8696,1208,1187,2395
1400308,7865,6927,14792,2054.105,1897.324,3951.43
1400407,4678,4262,8940,1192,1084,2276
1400456,5408,5025,10433,1311,1340,2651
1400472,12923,11356,24279,3837.129,3163.278,7000.407
1400506,3551,3218,6769,1051,986,2037
1400605,3568,3182,6750,1112,1036,2148
1400704,4339,4036,8375,1109,1037,2146
1500107,71630,69470,141100,22884,21902,44786
1500131,3533,3247,6780,1017,937,1954
1500206,28115,25454,53569,8241,7478,15719
1500305,18453,16589,35042,5470,4751,10221
1500347,13618,11439,25057,4019,3830,7849
1500404,27030,25596,52626,7226,6745,13971
1500503,17468,16146,33614,4929,4729,9658
1500602,49819,49256,99075,14661,14958,29619
1500701,12957,11802,24759,3723,3427,7150
1500800,226635,245345,471980,67292,73070,140362
1500859,10992,9551,20543,3148,2940,6088
1500909,20989,19508,40497,6195,5499,11694
1500958,13620,12926,26546,3972,3995,7967
1501006,8367,7482,15849,2155,1971,4126
1501105,12135,11729,23864,3566,3571,7137
1501204,19446,17436,36882,5916,5203,11119
1501253,1847,1584,3431,480,427,907
1501303,50346,49513,99859,15484,15397,30881
1501402,659008,734391,1393399,190717,208144,398861
1501451,8481,7837,16318,2144,2014,4158
1501501,25815,25836,51651,7721,7784,15505
1501576,8051,7247,15298,2334,2089,4423
1501600,7114,6516,13630,2150,2062,4212
1501709,57291,55936,113227,17217,17040,34257
1501725,8314,7376,15690,2281,2091,4372
1501758,3832,3485,7317,1095,1021,2116
1501782,27085,25408,52493,7889,7747,15636
1501808,47788,45072,92860,13937.65,12633.33,26570.98
1501907,13335,12360,25695,3776,3494,7270
1501956,13720,12764,26484,3839,3727,7566
